"route_id","agency_id","route_short_name","route_long_name","route_type","route_color","route_text_color"
"307C-10","1","307C-10","Conj. Encosta Norte - Metrô Artur Alvim","3","",""
"3098-10","1","3098-10","Jd. São Francisco - Shop. Aricanduva","3","",""
"3099-10","1","3099-10","Hosp. São Mateus - Jd. Da Conquista","3","",""
"3112-10","1","3112-10","Vl. Industrial - Metrô Belém","3","",""
"311C-10","1","311C-10","Pq. São Lucas - Bom Retiro","3","",""
"312N-10","1","312N-10","Term. Cid. Tiradentes - São Miguel Paulista","3","",""
"3134-10","1","3134-10","Shop. Aricanduva - Metrô Tamanduateí","3","",""
"3139-10","1","3139-10","Jd. Vl. Formosa - Pça. João Mendes","3","",""
"3139-31","1","3139-31","Jd. Vl. Formosa - Pça. Da República","3","",""
"3141-10","1","3141-10","São Mateus - Term. Pq. D. Pedro Ii","3","",""
"314J-10","1","314J-10","Pq. Sta. Madalena - Pça. Almeida Jr.","3","",""
"314V-10","1","314V-10","Vl. Ema - Pça. Almeida Jr.","3","",""
"3160-10","1","3160-10","Term. Vl. Prudente - Term. Pq. D. Pedro Ii","3","",""
"3161-10","1","3161-10","Jd. Colorado - Term. Pq. D. Pedro Ii","3","",""
"3206-10","1","3206-10","Metrô Penha - Conj. Chaparral","3","",""
"3301-10","1","3301-10","Term. São Miguel - Term. Pq. D. Pedro Ii","3","",""
"3309-10","1","3309-10","Vl. Carrão - Ccpd Raul Tabajara","3","",""
"331T-10","1","331T-10","Jd. Helena - Ccpd Raul Tabajara","3","",""
"3390-10","1","3390-10","São Mateus - Term. Pq. D. Pedro Ii","3","",""
"3414-10","1","3414-10","Vl. Dalila - Term. Pq. D. Pedro Ii","3","",""
"342C-10","1","342C-10","Jd. Marília - Penha","3","",""
"342M-10","1","342M-10","Term. São Mateus - Term. Penha","3","",""
"342N-10","1","342N-10","Cohab Pres. Juscelino Kubitscheck - E.t. Itaquera","3","",""
"3459-10","1","3459-10","Itaim Paulista - Term. Pq. D. Pedro Ii","3","",""
"3459-21","1","3459-21","Cem. Da Saudade - Term. Pq. D. Pedro Ii","3","",""
"3459-23","1","3459-23","Metrô Bresser - Itaim Paulista","3","",""
"3459-24","1","3459-24","Itaim Paulista - Term. Pq. D. Pedro Ii","3","",""
"3462-10","1","3462-10","Vl. Santana - Metrô Tatuapé","3","",""
"3462-41","1","3462-41","Jd. Vl. Nova - Metrô Tatuapé","3","",""
"351F-10","1","351F-10","Jaçanã - Term. Vl. Carrão","3","",""
"352A-10","1","352A-10","Jd. Helena - Term. São Mateus","3","",""
"3539-10","1","3539-10","Cid. Tiradentes - Metrô Bresser","3","",""
"354M-10","1","354M-10","Term. São Miguel - Term. São Mateus","3","",""
"3574-10","1","3574-10","Jd. Etelvina - E.t. Itaquera","3","",""
"3574-31","1","3574-31","Jd. Etelvina - E.t. Itaquera","3","",""
"364A-10","1","364A-10","Hosp. Ipiranga - Shop. Aricanduva","3","",""
"3686-10","1","3686-10","Jd. São Paulo - Term. Pq. D. Pedro Ii","3","",""
"3712-10","1","3712-10","Jd. São João - Metrô Itaquera","3","",""
"3712-41","1","3712-41","Jd. São Pedro - Metrô Itaquera","3","",""
"3718-10","1","3718-10","Metrô Artur Alvim - Nova America","3","",""
"3721-10","1","3721-10","Shop. Aricanduva - Metrô Artur Alvim","3","",""
"3721-41","1","3721-41","Shop. Aricanduva - Metrô Itaquera","3","",""
"3722-10","1","3722-10","Cohab José Bonifácio - Metrô Penha","3","",""
"3725-10","1","3725-10","Metrô Vl. Matilde - Vl. Dalila","3","",""
"3725-41","1","3725-41","Metrô Vl. Matilde - Vl. Aricanduva","3","",""
"3728-10","1","3728-10","Metrô Artur Alvim - Pq. Savoy City","3","",""
"3728-41","1","3728-41","Metrô Artur Alvim - Pq. Nova Savoy","3","",""
"3729-10","1","3729-10","Shop. Aricanduva - Metrô Carrão","3","",""
"372F-10","1","372F-10","Univ. São Judas Tadeu - Metrô Bresser","3","",""
"372U-10","1","372U-10","Vl. Sta. Isabel - Metrô Tatuapé","3","",""
"3731-10","1","3731-10","Shop. Aricanduva - Metrô Vl. Matilde","3","",""
"3732-10","1","3732-10","Cptm José Bonifácio - Metrô Itaquera","3","",""
"3734-10","1","3734-10","Cid. Lider - Metrô Artur Alvim","3","",""
"3735-10","1","3735-10","Metrô Artur Alvim - Jd. São João ","3","",""
"3735-21","1","3735-21","Metrô Artur Alvim - Jd. São João ","3","",""
"3735-41","1","3735-41","Jd. São José - Metrô Artur Alvim","3","",""
"3736-10","1","3736-10","Jd. Nsa. Sra. Do Carmo - Metrô Artur Alvim","3","",""
"3737-10","1","3737-10","Shop. Aricanduva - Metrô Guilhermina/esperança","3","",""
